Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,sheet_temp,file_name,pressure_ppm,condition_temp,compound
0.0109845,1.58496,0.00693045,120.172,60.057,0.467842,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.00835538,1.99525,0.00418764,160.188,60.018,0.44435,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.00996147,2.51188,0.00396574,200.297,60.003,0.447046,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0119457,3.16229,0.00377755,240.359,60.002,0.447855,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0147073,3.98109,0.0036943,280.5,60.001,0.447939,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0181039,5.01186,0.00361221,320.484,60.003,0.447382,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0223072,6.30957,0.00353546,360.641,60.005,0.446401,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0274,7.94329,0.00344945,400.797,59.998,0.447453,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0341594,10.0,0.00341594,440.859,60.001,0.445716,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0421808,12.5892,0.00335055,481.016,59.999,0.444987,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0523635,15.8489,0.00330391,521.063,60.006,0.44514,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.0652354,19.9526,0.00326952,561.188,59.998,0.443728,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.081694,25.1189,0.0032523,601.188,59.999,0.444596,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.10273,31.6228,0.0032486,641.313,60.002,0.442701,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.129614,39.8107,0.00325576,681.438,59.997,0.442201,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.162632,50.1187,0.00324494,721.547,60.001,0.440681,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.202733,63.0958,0.00321309,761.734,60.006,0.440664,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.252456,79.4328,0.00317824,801.703,59.996,0.44069,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.313723,100.0,0.00313722,841.859,60.003,0.440143,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.390162,125.893,0.00309917,881.938,59.999,0.440305,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.485407,158.49,0.00306271,922.063,60.0,0.43993,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.622405,199.526,0.00311942,962.25,59.996,0.439529,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.838445,251.189,0.00333791,1002.31,59.997,0.442365,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
1.13629,316.228,0.00359326,1042.42,60.0,0.443432,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
1.53455,398.107,0.00385461,1082.48,59.997,0.443306,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
2.07833,501.188,0.0041468,1122.73,59.996,0.444933,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
2.81035,630.957,0.00445411,1162.78,59.994,0.448094,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
3.75589,794.329,0.00472838,1202.95,59.988,0.450183,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
5.04447,1000.0,0.00504447,1242.94,59.989,0.456876,60 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,60,DPTLB 2070 C
0.00612249,0.999998,0.0061225,39.9688,70.116,0.406062,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.00280824,1.25893,0.00223065,80.0781,70.13,0.406092,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0069027,1.58491,0.00435526,120.297,70.067,0.404667,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.00779913,1.99523,0.00390888,160.297,70.028,0.404521,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.00910967,2.51186,0.00362666,200.469,70.005,0.400931,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0106196,3.16228,0.0033582,240.547,70.0,0.399604,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0129716,3.98108,0.00325831,280.625,70.002,0.399722,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0159836,5.01191,0.00318912,320.719,70.0,0.399301,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0198288,6.30954,0.00314267,360.813,70.004,0.398969,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0242773,7.94324,0.00305635,401.078,70.001,0.399645,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0304076,10.0,0.00304075,441.078,69.997,0.396721,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0374829,12.5893,0.00297737,481.313,69.998,0.396373,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0464676,15.8489,0.00293191,521.391,70.002,0.395334,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0579332,19.9526,0.00290354,561.438,70.001,0.394557,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0723046,25.1189,0.0028785,601.609,69.996,0.394165,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.0899431,31.6227,0.00284425,641.641,70.003,0.39275,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.111573,39.8108,0.00280258,681.797,69.997,0.392561,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.138533,50.1187,0.0027641,721.875,69.999,0.392273,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.175077,63.0957,0.00277478,761.984,69.994,0.391214,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.217796,79.4328,0.00274188,802.156,70.003,0.390378,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.270354,100.0,0.00270354,842.25,70.004,0.389248,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.33371,125.893,0.00265075,882.422,69.99,0.388494,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
0.413927,158.489,0.0026117,922.531,70.004,0.389157,70 C,new_polymer_rheology/Polymer DPTLB 2070 C_1000ppm.xlsx,1000,70,DPTLB 2070 C
